# secgurd community IOC list
# Auto-generated from abuse.ch MalwareBazaar recent export
# Updated: 2026-06-29 11:18:08 UTC
# Format: <sha256>,<malware family/signature>
#
74a20e8deb4f4dc6c83ad29a7f2f62dd49b76de7dca5aa3cb71b25cc54d330ce,Mirai
74c3857e040d7e9150b5f2390cd681c1c150a34498c8cc139e04e7f0718434aa,MalwareBazaar
753051a16244348c18597a80f5d8e67da310b95159fb366da0c43a8ddc026964,MalwareBazaar
75a73d044a81da0598715bd1a2ecc697dc080bd162586310fd2547270b84a0ab,MalwareBazaar
77008928203ea27e10cf340735c461aaadd041dbd7bef6858ea6663d2d76b32b,MalwareBazaar
7858578dd980a870035373a9c70a2257a93e087393dc35a14e735f8fa4869564,AgentTesla
7902bb4f23146c836ce28c9c0e63a5b673680cb35d337890c72d81d8161e5c9f,Mirai
795da5d26669adab59a43691a323a360f3ce2baf9a2a3181ae6db494fc74a830,MalwareBazaar
79a0bec1e8c9b4db86e986d1be00e65bbae2468f32d0af20308ac0c6d5966afc,MalwareBazaar
79ced052ef336b98a3dd0b032e79dd2fb2e91c36d8cf0c0d55cf7a2c6cdcf37e,MalwareBazaar
7a1d2297fd793a86a537ef8f220385216a3a2050ca53ce4ef6ad398407a90ff4,MalwareBazaar
7b2a71759e42740089ac9081f749d854b8d9132eab7e2edbef22279e0c2e8dcf,Mirai
7b3eb76cf18d4b634cb69ac5e3952fd6d93c4c24e04f80f13936cacfb6e3d338,SilentNet
7b7c24828b483c46412817a5f1b5f8fdb920dee27684b15cb5d5174216cdc420,Mirai
7c03fe2649d4b7a6e0255500ccc6d5d4a6fc41a4db5388bdabcf2d69c2a940ef,Mirai
7c099715b0954f829c2348798b38a4ac1f254d964fcabe14e844996f0fcc276d,MalwareBazaar
7dede952e67bc20819269e5f6428ee1adc4602d051e5aba790ec77b6b866f191,Mirai
7df2c8b75df9ecd6a3ea62522261872c20b481d582059231f304051d637d1397,CoinMiner
7eaa7b519388cc23423327303d5d7007f732526901712c2d3f14dcaca8ae64f9,MalwareBazaar
7face3ccbf29cfc4294e3058cfb88713afd36d49cd12ad28e5b637e212d6b4a7,WannaCry
812dbaead239dc87437196510043e1058f1656747d9bcd886a77594e3e654652,Mirai
8258d0072d4ce97403d82e6560f46d9e135ff8783ed04409870ad7df03035953,NanoCore
82fa4a260074ef98be4f2c8a925f9bb6ac91dcac44b69ba3c4a00116b308c729,Mirai
8407c98a0f164463bdc7bcb7e3b022943f64d63539c8fae52c968a1e0112488d,Mirai
848d134ca9d68ba39e5a448af3235557cb1339f4d06b2e41bfcf381fd5cbb275,Prometei
85c60e58e827d88421e0c3647da9897d33af13f436678df7f4ed433610760052,MalwareBazaar
86ae2681e12d21f7ea7525f893fd8466f57eae4c83be415b462c147aa845c8d0,ConnectWise
870461bd5e8a497e86459c6c3f5313a792e2c10aa605bdbd6f7108a0ea0f94fa,MalwareBazaar
8928d35f3e18435f6c17940a5a9a2515186b5a7a4faa6f681b7d244249daaf0b,BlankGrabber
8941121c6c9c206b87ae4be92f48c025b5ab11ce7b52cb5ae2e79fbdaf5169f9,MalwareBazaar
89a8132ebca5b6de89c9890a5e911883c2e0b58216161705eb6042a6ebb9b775,Mirai
89f41d2de7ee34876518940a410b55cc47bf53aa91702285f4e4080b9cce6b96,MalwareBazaar
8ac21ddc17f81979134b2a1e2d9aa191927239f55090eaf28d49a0297619e645,MalwareBazaar
8ba894b2cdc50ad8abc2b462a923f9506d9ad6b504583d29517a26f2107abeeb,Prometei
8bdb9e2799855cf53e619fc7f1f0c584de8f362f8f7bf050862ca273e3a637b7,Mirai
