# secgurd community IOC list
# Auto-generated from abuse.ch MalwareBazaar recent export (Windows PE + scripts only)
# Updated: 2026-08-08 07:04:35 UTC
# Format: <sha256>,<malware family/signature>
#
7e1e424f3c184c3c037235494158be38a9e7b15e0bd4a97c7f854ab03a1f09ed,RemusStealer
7e6815495d078bff962365cd929cdcf8f0c25f24b9de5ee89bebec4af778d76f,MalwareBazaar
7f7a9881d6ac026d154eaccdf1afff355e7c05a7ee09ba319a1879c8392c6902,AgentTesla
7fe1c82d5a257a35d527e78f05d35592c015f0dd8de1956d1e7f02ca70462f4e,Stealc
802dee2011a757a13f6afc236e66c6e8440bc733eb001d849286c22d43b0017e,TELEPUZ
81875cf965875c6374ecc1d6730ba629f463f00fbb6b695be1587b3103f97659,PureLogsStealer
83f653791490f197bfee667c341c853224fc297c54df067e51dca1a1d4126826,LxBaseRAT
84b8ec2f3b29a10f88d21fc7617cdfecac1c2c76303086b41471beb5f563f65c,RemusStealer
8512bee0bc7e85ec6218b1ae5083babae6198d48e7503b5da6990757adc3b745,PhantomStealer
8743a8f2075c8033558c39f321c306c3497c7d41bc272740d3ad6fc404063efe,MalwareBazaar
88e9161f6548b523c713702db766a5e18b77129db89aabb2e6150f0b6e781569,AsyncRAT
89c3ba702d5c424a14c58c3809897b9fc0a66a84c9e4becd4363972e4077756b,NanoCore
89f5e86a2ca62dee4ea9ea65d2235efb36528f987ba4d136326612f79cfe89a9,MalwareBazaar
8a494cf5613a27de7739d417506a93aa98c51453230f61de36d18d53e5456d97,RemcosRAT
8a9aa3dcfe7919c6a925d9e533e4c8a9db86e4f05427635384bf734adaa250ed,RemcosRAT
8ac5a2344e0d866abb491eb54060029ea890810f52cd12f0040a6151b251f269,CobaltStrike
8b6ebd944442d5fe56f92ebf505b6ab3210a9e49382ac71dd240918e99344531,MalwareBazaar
8cce14a06ff19f92020cefcf42c0040495c0dca18543f8449159ba1e78f69f29,WannaCry
8d945e37a9d8f4f68fb34b623e628aed9cce8c8ea6593a8e2bbcbba33e166537,MalwareBazaar
8d9a8edde0f4615113949a0b6b7535d5a12b87bdd8124c9412cb61ca8f8f687c,MalwareBazaar
90655bfb1f2e873252202256daec20ef3ba39187cdeb17c9acdc15086146c04e,PhantomStealer
925f55d345cd70293de26d2e56a6471013f0d531ad98230b9ff36ae7404e5555,AgentTesla
93c12bc920498b2d2c7aa60c66a71f794348546f8e41ff3b010aa3bf9be643bb,PhantomStealer
93fedc7b3f885aa9741fe7bbe171baded81188a5aeee3fecc636f3721587b702,AdaptixC2
94c78e0d80e3364e1c90d6f5311e6e4104bfa8e831d3351ba8cb875620d0dc64,NanoCore
94e2bbcbdbdb5c786a9a16d496089b8ff711c44824d4a83865b8792ec47c0112,Formbook
94e8b56ca74e421e08e4843c1bc3319413dfdb0d1217df3b84a4c5a3fbb76184,LxBaseRAT
96000ea06d9c60f12db32c005400fab457443b2ee57a9fa1dad28816cf3fa2ab,CoinMiner
960a805c5686d1145914bb57caab5fc12b420a35fc23b39b5604d78f47597149,ConnectWise
960ae7aabae262723177420c318c5e1d834f081ba917f044cc52c9bf39fa4e2a,ValleyRAT
9651b0ffc0ae5c18dabf04e4f388b44c48fc312c438408f33ea4635b65a048ac,Formbook
9834937477c328ffad0d982c40766053d1b6ba524f504c605266be5c81441e7b,PhantomStealer
9aaa0bc5f89bd38042e4d10dd57e71d9dad2fbc1595ea023477f7ac273a2310f,MalwareBazaar
9b07add3577cc11ab7b2db5e506dd6b7780b5d51618472ff1de02d8066a68b79,XWorm
9cec051c6baaa9cfd3d022fc1b35665efad58d9e6f4986040c155ec9456696d0,MalwareBazaar
9f3a86b405215f41fbead814db46b71b70fdc6d3be85d8e0a963914642335f31,LxBaseRAT
a1b471e7cb4cabe80828dfb0b96cc6f5f87bf867969c66bc8511715ecd70459e,SyncroRMM
a2eaeea6c061fef9dcca3ee823b828f6aca5168b8b1da3303bc94b29860f8b9f,ConnectWise
a350ab3e8b5c27a43323b0c05bcf9a216d3702778a44763e50303bf5b5bcb26b,AgentTesla
a3ca34b5d1d3788024fe3ee1bfab3f3958a017acb3141d96c72792043d343dbd,MalwareBazaar
a42df8053e42a3f98ce47aa8a0d130c0aa939d3dd9a8585011ddd665a8463fe0,ValleyRAT
a43abf1be5dd450dd88370d503721ea3d1b228d06a3ad4957f57a08a73cad669,ConnectWise
a7632f145e45c8d932f6f1a8ccbbf65e7ae97b0d339c45dfb548e29186db1144,Gh0stRAT
a77da805202bbf48288c9364a233da404b6859eee717c35814a152affca602e1,XWorm
a7e8bb5263b34be020d8b5c938b4c4187f390b9240f9ce757cae953da9988227,MalwareBazaar
a7ee2070a76bc47901c29c61c6b629cd007b6cd3deeecc3d2c74611eb6808b84,AgentTesla
a8af219a8047cc0cdeb31deba1e3836a51e2c83c3f6433939cf55ce76d6b688a,Formbook
a99039b4ba0da4c05516d43a10dbccc34757b1e3c7b9de7a67d35d667b19948b,RemcosRAT
aa6656a2c30c4ac0a97d8b1ac86692f5c0a5d41092ac02be096b74e1533405a4,XWorm
abf83c4d6bbf508504398ac56031c566ed662c3cc7e7b490494d9ee72eece870,Gh0stRAT
accbe9fca34638def5aa8a0c9d4cd7a536cc631c00a391d75e5a7b7548bade4b,PureRAT
add0e262bd554841dc12c106294dda4f8c6b73e7f28fca51a6f57e4d52fa16dc,ConnectWise
b07a4a75cdd824940753b01d05e7111f115c53b987e915f856b67c9a5817e39b,PureLogsStealer
b1a28aef6eec7c73533a608c51a9c23daff55521998520b775b0b66dabc9f547,MalwareBazaar
b2ba2af9b38cdb7112e0f3d0ef86a5138e65d2bfa139d525eac68a9dbaee49f1,XWorm
b3b9dd7083c699ce84bf464e727bc80499ab68035bef3e992c2519dac52699d0,MalwareBazaar
b4030f06fa3ea85a34443c760019f9b7b447794c6048457eb41aba18069575ff,Formbook
b40a92b3295857f9433298530a8c9e7e3af13e6ef2ce3f5e6b46454071fe9672,MalwareBazaar
b5f7df56de192f53a8122e1e6a7d83c80344d94b401d140004cff8cf04252757,ConnectWise
b6d9f6a54c598edff79ce18b3ed4ee349134eaec2d9c012b7608829660e0880e,CobaltStrike
b728b4aafc56b68bcc8dd300cd155c65a586942fca65c84df573b03a5f24d6d0,VIPKeylogger
b859ddd19d5d8da1d50c62279c1b2a21d7ab51a7104571bff16d9329c9ac3d23,XWorm
b87b3b60b7350747ba6998f50204c78ef0a6fb11281a35c9d15b52ea4765a75c,MalwareBazaar
b8bec7b45605da355b092c9f3e40bab447928839d4eef5a9290cb5bb1dd50f2d,ConnectWise
b9cf80a5e63577b018937534f6219eb29876c2163f0cdad7341acc2deef2859f,WannaCry
ba32aebc04dc365af12126586dabecfd34c70b3f60103410b6f0086761e3f42e,Formbook
ba7ef674b42b85717ae947a9cab116e0256f4996e949a8fdad8c5404aeef7a20,PureLogsStealer
bc61b77dc2c45262f6b1fe9cf77c212b362cfe3da9be23958d4753a01fcab2d2,MalwareBazaar
bc8d75d9c7accde66c9245d519ccc001dea4ddeb863058a19d99e9a773018f8f,NWHStealer
bd29e2e123c5c3fd93d1aaa531b73fa674bb9aa52df141e7bb67fe1939af5017,AgentTesla
bd51fc7e4074899f0af3125bfdfd449b312995511472b846c09883c5a055723b,ConnectWise
bde027623ac81616afb0be9a3ff9f7ec718278f89bf684feded59738175cc114,Efimer
bf2c84ab0b460c3a146e8176b580b3558bad4997f8e7c4a2292f824788b8fee9,Formbook
c1469031ae031b93295c46ecb9be91821775df4a696350d15952f725b9d6c93a,MalwareBazaar
c1741d39f2dbc4bfff227613697e514ff109a8ba541dc32434f43f55009452c0,MassLogger
c1d55538417d22ca041f9a269866ccba8957c40ee698860be340b297713eb8d9,RemcosRAT
c1f4b1fcaa128f2ef844062c0ada32d41e49ca542a8020c5505f82334cba3ff1,MalwareBazaar
c2eda59b5a04a3c09e89c72c802f2afb671cd7d1de0bcfe92f242e50540ac487,Formbook
c35c2d9570c711b9ebe4f1c4a2cab566b723ff7915179ae029a82653b69a237b,AgentTesla
c367627e55bb3bc8289d4610a4e1f9787a70475550d0eaea04d5a5aef7982453,RemcosRAT
c5125a9712a4bece5cc1d53da1914ec5ac7ba147ab37242b03ce488bc2909137,Efimer
c5ada905e0d97815d6a0cdf95e5497047e0dc46cc55f3ac063631087e649671b,AgentTesla
c78f663aebe76da3e9ce32305842d0c3060599ae55f1c81dd4cd20a85841a866,PhantomStealer
c894ed71694fd28d60113b5594f9e61e5133a18f410960849e868b60b8beb973,ValleyRAT
c94748d3ef1295840d61aac95b4d889f562030d57b93fa456069e8e71c167283,MalwareBazaar
c9e2edd85c59a64c95a1aae4ae8e4006416470acd7f53d6730910a8b5d0d5526,MalwareBazaar
c9e702a02d7003afce0ba08d6bf3177b92b16cd11a820f3d00bb3128ade6f65f,MalwareBazaar
ca33eeabb9860584f49ff9a881de1fc6a218813d7bfbcbeae842fcb579ea482c,PureLogsStealer
cd1966788983c1d70afe0055483e3968b1c2951576c2a3a962e808071792d886,ConnectWise
cd20c8c58a0b648abb515746556502b19a6fdbaaa790a65ad51570bc9001c19b,MalwareBazaar
cd95bd16eda71385f1c372910e0da074062ae7db5f9c3de90980f49e3e955f2e,STRRAT
cdab250ea90f79efb405d13c4f77fff2876b21392ddc0849737d2ab86e308189,MalwareBazaar
cdde719462e36f6a902e40859fab9e057acc944a02cc56c43353ab449efe6105,Efimer
cdf1259459502c82ce1bcb0651d6dba80d6f0bb2c7418e6a4ab75d0c4718536c,ConnectWise
cf4ebc8e5121ece3f32be7e760a99273d170411b74bc6aa1d2f8e8509560f90c,RemcosRAT
cfbe43d4ecedf955f8aad7dc2f56969a791adfebebfe464b74d15ac694b32210,XWorm
